,Name,PlayerId,color,WAR
13144,John Brown,1014717,brown,0.1765297635097381
13890,Jophery Brown,1001532,brown,-0.0172987207770347
13893,Jordan Brown,4121,brown,-0.2045562546692086
14348,Jumbo Brown,1001533,brown,2.806852473353442
14483,Keith Brown,1001534,brown,-0.081963319865858
14690,Kevin Brown,178,brown,0.7294132537122785
14691,Kevin Brown,642,brown,76.0614999136223
14692,Kevin Brown,1001535,brown,0.2699982840567827
15038,Larry Brown,1001536,brown,7.303309757193685
15039,Larry Brown,1014718,brown,7.402676222056009
15344,Leon Brown,1001538,brown,-0.3462033836739612
15447,Lew Brown,1001537,brown,7.50107921420017
15487,Lindsay Brown,1001539,brown,-0.3308047884629415
15505,Lloyd Brown,1001540,brown,18.08442320084428
15863,Mace Brown,1001541,brown,7.320114866454405
16006,Mark Brown,1001542,brown,0.0347675728262402
16158,Marty Brown,1001543,brown,-0.4967892868993275
16391,Matthew Brown,6384,brown,-0.4933396897057143
16455,Maywood Brown,1014719,brown,-0.48111619649391424
16719,Mike Brown,1001545,brown,0.4210365680046379
16720,Mike Brown,1001546,brown,1.7361688250819511
17226,Mordecai Brown,1001547,brown,49.82047441086025
17278,Myrl Brown,1001548,brown,0.3589613375748806
17562,Norm Brown,1001549,brown,-0.1793608525434438
17613,Oliver Brown,1001550,brown,-0.2769505212207981
17623,Ollie Brown,1001551,brown,9.399389440743947
17702,Oscar Brown,1001552,brown,-1.3608538864378112
17746,Ossie Brown,1014721,brown,0.8294004455037025
18000,Paul Brown,1001553,brown,-0.6604828911258886
18432,Pidge Browne,1001555,brown,-0.0929868550589701
18692,Randy Brown,1001557,brown,-0.064302178907841
18779,Ray Brown,1001556,brown,-0.0064872908322932965
18780,Ray Brown,1014722,brown,34.219711566749645
19388,Robert Brown,1001491,brown,-0.2227443777584636
19663,Ronnie Brown,1014723,brown,-0.1000649971556485
19676,Roosevelt Brown,268,brown,0.8215293593738384
20116,Sam Brown,1001558,brown,-0.8333194711623635
20313,Scott Brown,1001559,brown,0.3307811664036097
20428,Scrappy Brown,1014724,brown,-1.507711946256331
20486,Seth Brown,18171,brown,2.7275484919553987
20875,Steve Brown,1001561,brown,0.6061536613851786
21087,Stub Brown,1001560,brown,-0.16488310246730659
